session_id,session_id,site0,site1,site2,site3,site4,site5,site6,site7,site8,site9,user_id
0,1,192,578,133,3,133,133,3,133,203,133,31
1,2,415,193,691,256,133,31,395,3852,217,55,31
2,3,55,3,55,55,5,294,415,336,914,55,31
3,4,480,3681,480,55,55,55,55,975,199,124,31
4,5,342,55,5,3839,261,212,3459,2271,694,2271,31
5,6,230,694,212,212,55,55,128,173,3739,3402,31
6,7,352,578,133,3,133,31,133,395,192,133,31
7,8,262,3425,1585,395,55,3,55,3,199,124,31
8,9,55,336,106,203,1289,515,55,836,106,5,31
9,10,1015,352,3520,352,3549,537,620,620,537,618,31
10,11,618,173,173,465,2,2,6,3,2,3275,31
11,12,3275,3857,3677,2573,163,163,118,90,2,90,31
12,13,108,569,614,18,44,108,390,17,90,2301,31
13,14,90,763,5,102,22,1263,1263,90,569,31,31
14,15,20,31,20,90,5,118,6,3,2,2,31
15,16,54,2,63,86,54,86,63,54,63,142,31
16,17,54,63,54,142,61,61,61,61,374,311,31
17,18,311,374,311,1148,374,1533,1533,1148,311,374,31
18,19,98,98,311,374,3136,311,1307,1152,1307,311,31
19,20,3136,1152,1307,1307,311,374,311,374,1152,311,31
20,21,374,374,1533,3,311,374,2,1533,472,1901,31
21,22,374,311,3,880,311,2,472,579,880,374,31
22,23,311,880,311,579,1148,374,880,311,579,1920,31
23,24,2244,374,311,472,880,880,311,472,579,472,31
24,25,579,311,579,2266,829,579,311,579,880,472,31
25,26,579,374,311,472,579,472,311,472,579,579,31
26,27,880,472,472,472,193,472,691,472,342,128,31
27,28,472,472,472,579,472,294,579,1377,43,465,31
28,29,2,2,3,6,2,1919,247,1919,597,1929,31
29,30,128,203,1377,211,5,597,1919,515,1574,597,31
30,31,1919,2668,170,170,2,3,6,1905,2,3,31
31,32,1905,106,1905,1905,374,311,311,374,1533,311,31
32,33,1447,1148,311,472,1901,374,1307,311,1152,1152,31
33,34,1307,311,374,472,472,311,311,374,311,1148,31
34,35,374,311,472,311,1920,472,2244,472,374,472,31
35,36,472,311,472,2266,579,472,472,472,87,5,31
36,37,472,87,578,133,3,133,31,3,133,133,31
37,38,395,3819,1002,1002,55,3,55,3,55,106,31
38,39,1668,172,3675,3697,55,3,55,199,124,55,31
39,40,55,3691,3668,261,864,261,352,352,864,772,31
40,41,3,55,55,193,55,3705,212,3470,212,261,31
41,42,261,3731,772,230,230,537,537,55,55,3,31
42,43,55,55,3,415,106,1895,3950,3521,1281,55,31
43,44,3,55,55,55,3608,3776,607,607,230,55,31
44,45,55,879,3,415,480,480,3545,55,55,3,31
45,46,55,55,415,55,55,3718,3,55,199,124,31
46,47,31,744,3919,253,2737,3729,908,55,3,55,31
47,48,193,311,374,374,311,1148,374,1901,922,922,31
48,49,922,311,311,1148,374,311,1920,2244,922,922,31
49,50,922,922,922,579,374,2266,922,579,311,55,31
50,51,579,922,922,578,133,3,133,199,124,31,31
51,52,1283,133,1552,3524,395,133,1283,133,3887,55,31
52,53,3,55,395,55,55,3734,571,571,3758,611,31
53,54,371,261,261,607,607,199,55,124,415,106,31
54,55,203,342,173,1015,336,1289,106,515,836,3432,31
55,56,3636,212,212,212,419,419,1518,750,1518,750,31
56,57,879,55,133,418,578,3,133,133,199,124,31
57,58,31,133,3564,217,217,1120,395,3,55,199,31
58,59,124,55,294,923,2318,399,3376,878,3601,694,31
59,60,694,371,371,399,371,399,399,399,399,55,31
60,61,55,199,124,5,691,193,128,3716,3312,537,31
61,62,230,537,230,664,664,217,217,55,55,2129,31
62,63,55,106,1289,247,515,55,3642,3648,984,1543,31
63,64,3702,984,1543,984,352,352,619,619,55,217,31
64,65,217,419,133,133,3360,395,55,55,55,399,31
65,66,923,55,124,415,199,55,55,480,55,3834,31
66,67,217,3633,217,55,772,55,124,55,199,193,31
67,68,106,128,294,106,172,1624,1667,55,336,3835,31
68,69,1902,3689,1902,230,878,212,212,55,199,124,31
69,70,415,3816,230,3684,230,55,415,691,203,5,31
70,71,55,173,418,2,465,2,2,2,6,3,31
71,72,2,3,6,2,1003,2,2290,802,2290,418,31
72,73,418,192,2,465,2,6,2,3,6,2,31
73,74,3,4,10,10,4,3,6,3,4,4,31
74,75,21,10,6,27,4,10,4,4,9,3,31
75,76,30,6,10,21,27,33,30,115,9,9,31
