session_id,session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,user_id
0,1,193,575,134,3,134,134,3,134,203,134,1
1,2,417,192,698,254,134,31,396,3673,221,55,1
2,3,55,3,55,55,5,294,417,336,912,55,1
3,4,476,3875,476,55,55,55,55,965,202,124,1
4,5,344,55,5,3667,258,211,4046,2323,697,2323,1
5,6,231,697,211,211,55,55,128,174,3986,3779,1
6,7,350,575,134,3,134,31,134,396,193,134,1
7,8,262,3866,1638,396,55,3,55,3,202,124,1
8,9,55,336,106,203,1370,523,55,819,106,5,1
9,10,1011,350,3705,350,3750,537,609,609,537,611,1
10,11,611,174,174,467,2,2,6,3,2,2800,1
11,12,2800,3359,3929,2505,161,161,118,90,2,90,1
12,13,108,568,618,18,45,108,390,17,90,2453,1
13,14,90,735,5,102,22,1309,1309,90,568,31,1
14,15,20,31,20,90,5,118,6,3,2,2,1
15,16,54,2,62,86,54,86,62,54,62,143,1
16,17,54,62,54,143,61,61,61,61,372,317,1
17,18,317,372,317,1077,372,1392,1392,1077,317,372,1
18,19,98,98,317,372,2785,317,1347,1173,1347,317,1
19,20,2785,1173,1347,1347,317,372,317,372,1173,317,1
20,21,372,372,1392,3,317,372,2,1392,464,2033,1
21,22,372,317,3,862,317,2,464,574,862,372,1
22,23,317,862,317,574,1077,372,862,317,574,2054,1
23,24,2349,372,317,464,862,862,317,464,574,464,1
24,25,574,317,574,2447,811,574,317,574,862,464,1
25,26,574,372,317,464,574,464,317,464,574,574,1
26,27,862,464,464,464,192,464,698,464,344,128,1
27,28,464,464,464,574,464,294,574,1471,43,467,1
28,29,2,2,3,6,2,1833,246,1833,592,2039,1
29,30,128,203,1471,212,5,592,1833,523,1570,592,1
30,31,1833,2743,170,170,2,3,6,1963,2,3,1
31,32,1963,106,1963,1963,372,317,317,372,1392,317,1
32,33,1398,1077,317,464,2033,372,1347,317,1173,1173,1
33,34,1347,317,372,464,464,317,317,372,317,1077,1
34,35,372,317,464,317,2054,464,2349,464,372,464,1
35,36,464,317,464,2447,574,464,464,464,87,5,1
36,37,464,87,575,134,3,134,31,3,134,134,1
37,38,396,4027,1003,1003,55,3,55,3,55,106,1
38,39,1630,172,3665,3715,55,3,55,202,124,55,1
39,40,55,3693,3903,258,853,258,350,350,853,801,1
40,41,3,55,55,192,55,3898,211,4032,211,258,1
41,42,258,3676,801,231,231,537,537,55,55,3,1
42,43,55,55,3,417,106,1848,3689,3719,1338,55,1
43,44,3,55,55,55,3744,3950,620,620,231,55,1
44,45,55,896,3,417,476,476,4013,55,55,3,1
45,46,55,55,417,55,55,3869,3,55,202,124,1
46,47,31,755,3669,251,2745,3872,915,55,3,55,1
47,48,192,317,372,372,317,1077,372,2033,911,911,1
48,49,911,317,317,1077,372,317,2054,2349,911,911,1
49,50,911,911,911,574,372,2447,911,574,317,55,1
50,51,574,911,911,575,134,3,134,202,124,31,1
51,52,1272,134,1761,3881,396,134,1272,134,3736,55,1
52,53,3,55,396,55,55,3961,569,569,3948,602,1
53,54,367,258,258,620,620,202,55,124,417,106,1
54,55,203,344,174,1011,336,1370,106,523,819,4058,1
55,56,3909,211,211,211,419,419,1484,746,1484,746,1
56,57,896,55,134,416,575,3,134,134,202,124,1
57,58,31,134,3718,221,221,1139,396,3,55,202,1
58,59,124,55,294,935,2116,400,3996,873,3876,697,1
59,60,697,367,367,400,367,400,400,400,400,55,1
60,61,55,202,124,5,698,192,128,4010,3725,537,1
61,62,231,537,231,665,665,221,221,55,55,2491,1
62,63,55,106,1370,246,523,55,3695,3889,999,1486,1
63,64,3680,999,1486,999,350,350,606,606,55,221,1
64,65,221,419,134,134,3717,396,55,55,55,400,1
65,66,935,55,124,417,202,55,55,476,55,4018,1
66,67,221,4012,221,55,801,55,124,55,202,192,1
67,68,106,128,294,106,172,1720,1774,55,336,3907,1
68,69,2022,4021,2022,231,873,211,211,55,202,124,1
